S/N,"Full Name - First Name, Last Name",Gross Income CAD($),Sex,Date of Birth,Marital Status
370,"Maruanto, Mazindara"," $210,672.00 ",N,24-02-70934,Single
371,"Kuzante, Marandinho"," $204,144.00 ",M,24-02-71934,Married
372,"Maruanto, Mazindara"," $18,146.00 ",F,24-02-72934,Divorced
373,"Kuzante, Marandinho"," $219,637.00 ",M,24-02-73934,Single
374,"Maruanto, Mazindara"," $178,176.00 ",M,24-02-74934,Married
375,"Kuzante, Marandinho"," $97,236.00 ",M,24-02-75934,Divorced
376,"Maruanto, Mazindara"," $216,439.00 ",N,24-02-76934,Divorced
377,"Kuzante, Marandinho"," $59,437.00 ",M,24-02-77934,Single
378,"Maruanto, Mazindara"," $78,471.00 ",F,24-02-78934,Married
379,"Kuzante, Marandinho"," $142,615.00 ",F,24-02-79934,Divorced
380,"Maruanto, Mazindara"," $96,040.00 ",N,24-02-80934,Single
381,"Kuzante, Marandinho"," $139,243.00 ",M,24-02-81934,Married
382,"Maruanto, Mazindara"," $33,270.00 ",N,24-02-82934,Divorced
383,"Kuzante, Marandinho"," $51,983.00 ",F,24-02-83934,Single
384,"Maruanto, Mazindara"," $231,194.00 ",N,24-02-84934,Married
385,"Kuzante, Marandinho"," $67,429.00 ",M,24-02-85934,Divorced
386,"Maruanto, Mazindara"," $138,926.00 ",F,24-02-86934,Single
387,"Kuzante, Marandinho"," $171,143.00 ",M,24-02-87934,Married
388,"Maruanto, Mazindara"," $152,016.00 ",M,24-02-88934,Divorced
389,"Kuzante, Marandinho"," $119,511.00 ",M,24-02-89934,Single
390,"Maruanto, Mazindara"," $87,488.00 ",N,24-02-90934,Married
391,"Kuzante, Marandinho"," $101,234.00 ",M,24-02-91934,Divorced
392,"Maruanto, Mazindara"," $73,592.00 ",F,24-02-92934,Single
393,"Kuzante, Marandinho"," $81,154.00 ",F,24-02-93934,Married
394,"Maruanto, Mazindara"," $96,795.00 ",N,24-02-94934,Divorced
395,"Kuzante, Marandinho"," $39,649.00 ",M,24-02-95934,Divorced
396,"Maruanto, Mazindara"," $154,590.00 ",N,24-02-96934,Single
397,"Kuzante, Marandinho"," $154,962.00 ",F,24-02-97934,Married
398,"Maruanto, Mazindara"," $198,552.00 ",N,24-02-98934,Divorced
399,"Kuzante, Marandinho"," $123,322.00 ",M,24-02-99934,Single
400,"Maruanto, Mazindara"," $210,761.00 ",F,24-02-100934,Married
401,"Kuzante, Marandinho"," $155,331.00 ",M,24-02-1934,Single
402,"Maruanto, Mazindara"," $176,784.00 ",F,24-02-2934,Married
403,"Kuzante, Marandinho"," $71,233.00 ",M,24-02-3934,Divorced
404,"Maruanto, Mazindara"," $44,868.00 ",M,24-02-4934,Single
405,"Kuzante, Marandinho"," $208,434.00 ",M,24-02-5934,Married
406,"Maruanto, Mazindara"," $153,447.00 ",N,24-02-6934,Divorced
407,"Kuzante, Marandinho"," $192,530.00 ",M,24-02-7934,Single
408,"Maruanto, Mazindara"," $208,149.00 ",F,24-02-8934,Married
409,"Kuzante, Marandinho"," $216,408.00 ",F,24-02-9934,Divorced
410,"Maruanto, Mazindara"," $176,345.00 ",N,24-02-10934,Single
411,"Kuzante, Marandinho"," $84,107.00 ",M,24-02-11934,Married
412,"Maruanto, Mazindara"," $60,299.00 ",N,24-02-12934,Divorced
413,"Kuzante, Marandinho"," $186,982.00 ",F,24-02-13934,Single
414,"Maruanto, Mazindara"," $65,429.00 ",N,24-02-14934,Married
415,"Kuzante, Marandinho"," $85,676.00 ",M,24-02-15934,Divorced
416,"Maruanto, Mazindara"," $207,773.00 ",F,24-02-16934,Single
417,"Kuzante, Marandinho"," $55,275.00 ",M,24-02-17934,Married
418,"Maruanto, Mazindara"," $141,860.00 ",M,24-02-18934,Divorced
419,"Kuzante, Marandinho"," $114,006.00 ",M,24-02-19934,Single
420,"Maruanto, Mazindara"," $137,170.00 ",N,24-02-20934,Married
421,"Kuzante, Marandinho"," $22,475.00 ",M,24-02-21934,Divorced
422,"Maruanto, Mazindara"," $185,655.00 ",F,24-02-22934,Single
423,"Kuzante, Marandinho"," $100,001.00 ",F,24-02-23934,Married
424,"Maruanto, Mazindara"," $145,009.00 ",N,24-02-24934,Divorced
425,"Kuzante, Marandinho"," $175,942.00 ",M,24-02-25934,Single
426,"Maruanto, Mazindara"," $51,520.00 ",N,24-02-26934,Married
427,"Kuzante, Marandinho"," $42,184.00 ",F,24-02-27934,Divorced
428,"Maruanto, Mazindara"," $72,447.00 ",N,24-02-28934,Single
429,"Kuzante, Marandinho"," $245,412.00 ",M,24-02-29934,Married
430,"Maruanto, Mazindara"," $199,050.00 ",F,24-02-30934,Divorced
431,"Kuzante, Marandinho"," $77,405.00 ",M,24-02-31934,Single
432,"Maruanto, Mazindara"," $235,263.00 ",M,24-02-32934,Married
433,"Kuzante, Marandinho"," $72,641.00 ",M,24-02-33934,Divorced
434,"Maruanto, Mazindara"," $95,585.00 ",N,24-02-34934,Single
435,"Kuzante, Marandinho"," $133,244.00 ",M,24-02-35934,Married
436,"Maruanto, Mazindara"," $38,026.00 ",F,24-02-36934,Divorced
437,"Kuzante, Marandinho"," $111,453.00 ",F,24-02-37934,Single
438,"Maruanto, Mazindara"," $70,341.00 ",N,24-02-38934,Married
439,"Kuzante, Marandinho"," $32,782.00 ",M,24-02-39934,Divorced
440,"Maruanto, Mazindara"," $144,108.00 ",N,24-02-40934,Single
441,"Kuzante, Marandinho"," $34,460.00 ",F,24-02-41934,Married
442,"Maruanto, Mazindara"," $249,744.00 ",N,24-02-42934,Divorced
443,"Kuzante, Marandinho"," $13,704.00 ",M,24-02-43934,Single
444,"Maruanto, Mazindara"," $137,172.00 ",F,24-02-44934,Married
445,"Kuzante, Marandinho"," $152,502.00 ",M,24-02-45934,Divorced
446,"Maruanto, Mazindara"," $133,837.00 ",M,24-02-46934,Single
447,"Kuzante, Marandinho"," $105,271.00 ",M,24-02-47934,Married
448,"Maruanto, Mazindara"," $119,076.00 ",N,24-02-48934,Divorced
449,"Kuzante, Marandinho"," $170,086.00 ",M,24-02-49934,Single
450,"Maruanto, Mazindara"," $38,549.00 ",F,24-02-50934,Married
451,"Kuzante, Marandinho"," $115,113.00 ",F,24-02-51934,Divorced
452,"Maruanto, Mazindara"," $88,019.00 ",N,24-02-52934,Single
453,"Kuzante, Marandinho"," $206,899.00 ",M,24-02-53934,Married
454,"Maruanto, Mazindara"," $57,500.00 ",N,24-02-54934,Divorced
455,"Kuzante, Marandinho"," $76,392.00 ",F,24-02-55934,Single
456,"Maruanto, Mazindara"," $53,157.00 ",N,24-02-56934,Married
457,"Kuzante, Marandinho"," $181,651.00 ",M,24-02-57934,Divorced
458,"Maruanto, Mazindara"," $217,194.00 ",F,24-02-58934,Single
459,"Kuzante, Marandinho"," $141,374.00 ",M,24-02-59934,Married
460,"Maruanto, Mazindara"," $58,191.00 ",M,24-02-60934,Divorced
461,"Kuzante, Marandinho"," $20,111.00 ",M,24-02-61934,Single
462,"Maruanto, Mazindara"," $117,382.00 ",N,24-02-62934,Married
463,"Kuzante, Marandinho"," $138,107.00 ",M,24-02-63934,Divorced
464,"Maruanto, Mazindara"," $95,362.00 ",F,24-02-64934,Single
465,"Kuzante, Marandinho"," $173,027.00 ",F,24-02-65934,Married
466,"Maruanto, Mazindara"," $67,275.00 ",N,24-02-66934,Divorced
467,"Kuzante, Marandinho"," $92,665.00 ",M,24-02-67934,Single
468,"Maruanto, Mazindara"," $199,671.00 ",N,24-02-68934,Married
469,"Kuzante, Marandinho"," $123,698.00 ",F,24-02-69934,Divorced
470,"Maruanto, Mazindara"," $210,672.00 ",N,24-02-70934,Single
471,"Kuzante, Marandinho"," $204,144.00 ",M,24-02-71934,Married
472,"Maruanto, Mazindara"," $18,146.00 ",F,24-02-72934,Divorced
473,"Kuzante, Marandinho"," $219,637.00 ",M,24-02-73934,Single
474,"Maruanto, Mazindara"," $178,176.00 ",M,24-02-74934,Married
475,"Kuzante, Marandinho"," $97,236.00 ",M,24-02-75934,Divorced
476,"Maruanto, Mazindara"," $216,439.00 ",N,24-02-76934,Divorced
477,"Kuzante, Marandinho"," $59,437.00 ",M,24-02-77934,Single
478,"Maruanto, Mazindara"," $78,471.00 ",F,24-02-78934,Married
479,"Kuzante, Marandinho"," $142,615.00 ",F,24-02-79934,Divorced
480,"Maruanto, Mazindara"," $96,040.00 ",N,24-02-80934,Single
481,"Kuzante, Marandinho"," $139,243.00 ",M,24-02-81934,Married
482,"Maruanto, Mazindara"," $33,270.00 ",N,24-02-82934,Divorced
483,"Kuzante, Marandinho"," $51,983.00 ",F,24-02-83934,Single
484,"Maruanto, Mazindara"," $231,194.00 ",N,24-02-84934,Married
485,"Kuzante, Marandinho"," $67,429.00 ",M,24-02-85934,Divorced
486,"Maruanto, Mazindara"," $138,926.00 ",F,24-02-86934,Single
487,"Kuzante, Marandinho"," $171,143.00 ",M,24-02-87934,Married
488,"Maruanto, Mazindara"," $152,016.00 ",M,24-02-88934,Divorced
489,"Kuzante, Marandinho"," $119,511.00 ",M,24-02-89934,Single
490,"Maruanto, Mazindara"," $87,488.00 ",N,24-02-90934,Married
491,"Kuzante, Marandinho"," $101,234.00 ",M,24-02-91934,Divorced
492,"Maruanto, Mazindara"," $73,592.00 ",F,24-02-92934,Single
493,"Kuzante, Marandinho"," $81,154.00 ",F,24-02-93934,Married
494,"Maruanto, Mazindara"," $96,795.00 ",N,24-02-94934,Divorced
495,"Kuzante, Marandinho"," $39,649.00 ",M,24-02-95934,Divorced
496,"Maruanto, Mazindara"," $154,590.00 ",N,24-02-96934,Single
497,"Kuzante, Marandinho"," $154,962.00 ",F,24-02-97934,Married
498,"Maruanto, Mazindara"," $198,552.00 ",N,24-02-98934,Divorced
499,"Kuzante, Marandinho"," $123,322.00 ",M,24-02-99934,Single
500,"Maruanto, Mazindara"," $210,761.00 ",F,24-02-100934,Married
501,"Kuzante, Marandinho"," $155,331.00 ",M,24-02-1934,Single
502,"Maruanto, Mazindara"," $176,784.00 ",F,24-02-2934,Married
503,"Kuzante, Marandinho"," $71,233.00 ",M,24-02-3934,Divorced
504,"Maruanto, Mazindara"," $44,868.00 ",M,24-02-4934,Single
505,"Kuzante, Marandinho"," $208,434.00 ",M,24-02-5934,Married
506,"Maruanto, Mazindara"," $153,447.00 ",N,24-02-6934,Divorced
507,"Kuzante, Marandinho"," $192,530.00 ",M,24-02-7934,Single
508,"Maruanto, Mazindara"," $208,149.00 ",F,24-02-8934,Married
509,"Kuzante, Marandinho"," $216,408.00 ",F,24-02-9934,Divorced
510,"Maruanto, Mazindara"," $176,345.00 ",N,24-02-10934,Single
511,"Kuzante, Marandinho"," $84,107.00 ",M,24-02-11934,Married
512,"Maruanto, Mazindara"," $60,299.00 ",N,24-02-12934,Divorced
513,"Kuzante, Marandinho"," $186,982.00 ",F,24-02-13934,Single
514,"Maruanto, Mazindara"," $65,429.00 ",N,24-02-14934,Married
515,"Kuzante, Marandinho"," $85,676.00 ",M,24-02-15934,Divorced
516,"Maruanto, Mazindara"," $207,773.00 ",F,24-02-16934,Single
517,"Kuzante, Marandinho"," $55,275.00 ",M,24-02-17934,Married
518,"Maruanto, Mazindara"," $141,860.00 ",M,24-02-18934,Divorced
519,"Kuzante, Marandinho"," $114,006.00 ",M,24-02-19934,Single
520,"Maruanto, Mazindara"," $137,170.00 ",N,24-02-20934,Married
521,"Kuzante, Marandinho"," $22,475.00 ",M,24-02-21934,Divorced
522,"Maruanto, Mazindara"," $185,655.00 ",F,24-02-22934,Single
523,"Kuzante, Marandinho"," $100,001.00 ",F,24-02-23934,Married
524,"Maruanto, Mazindara"," $145,009.00 ",N,24-02-24934,Divorced
525,"Kuzante, Marandinho"," $175,942.00 ",M,24-02-25934,Single
526,"Maruanto, Mazindara"," $51,520.00 ",N,24-02-26934,Married
527,"Kuzante, Marandinho"," $42,184.00 ",F,24-02-27934,Divorced
528,"Maruanto, Mazindara"," $72,447.00 ",N,24-02-28934,Single
529,"Kuzante, Marandinho"," $245,412.00 ",M,24-02-29934,Married
530,"Maruanto, Mazindara"," $199,050.00 ",F,24-02-30934,Divorced
531,"Kuzante, Marandinho"," $77,405.00 ",M,24-02-31934,Single
532,"Maruanto, Mazindara"," $235,263.00 ",M,24-02-32934,Married
533,"Kuzante, Marandinho"," $72,641.00 ",M,24-02-33934,Divorced
534,"Maruanto, Mazindara"," $95,585.00 ",N,24-02-34934,Single
535,"Kuzante, Marandinho"," $133,244.00 ",M,24-02-35934,Married
536,"Maruanto, Mazindara"," $38,026.00 ",F,24-02-36934,Divorced
537,"Kuzante, Marandinho"," $111,453.00 ",F,24-02-37934,Single
538,"Maruanto, Mazindara"," $70,341.00 ",N,24-02-38934,Married
539,"Kuzante, Marandinho"," $32,782.00 ",M,24-02-39934,Divorced
540,"Maruanto, Mazindara"," $144,108.00 ",N,24-02-40934,Single
541,"Kuzante, Marandinho"," $34,460.00 ",F,24-02-41934,Married
542,"Maruanto, Mazindara"," $249,744.00 ",N,24-02-42934,Divorced
543,"Kuzante, Marandinho"," $13,704.00 ",M,24-02-43934,Single
544,"Maruanto, Mazindara"," $137,172.00 ",F,24-02-44934,Married
545,"Kuzante, Marandinho"," $152,502.00 ",M,24-02-45934,Divorced
546,"Maruanto, Mazindara"," $133,837.00 ",M,24-02-46934,Single
547,"Kuzante, Marandinho"," $105,271.00 ",M,24-02-47934,Married
548,"Maruanto, Mazindara"," $119,076.00 ",N,24-02-48934,Divorced
549,"Kuzante, Marandinho"," $170,086.00 ",M,24-02-49934,Single
550,"Maruanto, Mazindara"," $38,549.00 ",F,24-02-50934,Married
551,"Kuzante, Marandinho"," $115,113.00 ",F,24-02-51934,Divorced
552,"Maruanto, Mazindara"," $88,019.00 ",N,24-02-52934,Single
553,"Kuzante, Marandinho"," $206,899.00 ",M,24-02-53934,Married
554,"Maruanto, Mazindara"," $57,500.00 ",N,24-02-54934,Divorced
555,"Kuzante, Marandinho"," $76,392.00 ",F,24-02-55934,Single
556,"Maruanto, Mazindara"," $53,157.00 ",N,24-02-56934,Married
557,"Kuzante, Marandinho"," $181,651.00 ",M,24-02-57934,Divorced
558,"Maruanto, Mazindara"," $217,194.00 ",F,24-02-58934,Single
559,"Kuzante, Marandinho"," $141,374.00 ",M,24-02-59934,Married
560,"Maruanto, Mazindara"," $58,191.00 ",M,24-02-60934,Divorced
561,"Kuzante, Marandinho"," $20,111.00 ",M,24-02-61934,Single
562,"Maruanto, Mazindara"," $117,382.00 ",N,24-02-62934,Married
563,"Kuzante, Marandinho"," $138,107.00 ",M,24-02-63934,Divorced
564,"Maruanto, Mazindara"," $95,362.00 ",F,24-02-64934,Single
565,"Kuzante, Marandinho"," $173,027.00 ",F,24-02-65934,Married
566,"Maruanto, Mazindara"," $67,275.00 ",N,24-02-66934,Divorced
567,"Kuzante, Marandinho"," $92,665.00 ",M,24-02-67934,Single
568,"Maruanto, Mazindara"," $199,671.00 ",N,24-02-68934,Married
569,"Kuzante, Marandinho"," $123,698.00 ",F,24-02-69934,Divorced
570,"Maruanto, Mazindara"," $210,672.00 ",N,24-02-70934,Single
571,"Kuzante, Marandinho"," $204,144.00 ",M,24-02-71934,Married
572,"Maruanto, Mazindara"," $18,146.00 ",F,24-02-72934,Divorced
573,"Kuzante, Marandinho"," $219,637.00 ",M,24-02-73934,Single
574,"Maruanto, Mazindara"," $178,176.00 ",M,24-02-74934,Married
575,"Kuzante, Marandinho"," $97,236.00 ",M,24-02-75934,Divorced
576,"Maruanto, Mazindara"," $216,439.00 ",N,24-02-76934,Divorced
577,"Kuzante, Marandinho"," $59,437.00 ",M,24-02-77934,Single
578,"Maruanto, Mazindara"," $78,471.00 ",F,24-02-78934,Married
579,"Kuzante, Marandinho"," $142,615.00 ",F,24-02-79934,Divorced
580,"Maruanto, Mazindara"," $96,040.00 ",N,24-02-80934,Single
581,"Kuzante, Marandinho"," $139,243.00 ",M,24-02-81934,Married
582,"Maruanto, Mazindara"," $33,270.00 ",N,24-02-82934,Divorced
583,"Kuzante, Marandinho"," $51,983.00 ",F,24-02-83934,Single
584,"Maruanto, Mazindara"," $231,194.00 ",N,24-02-84934,Married
585,"Kuzante, Marandinho"," $67,429.00 ",M,24-02-85934,Divorced
586,"Maruanto, Mazindara"," $138,926.00 ",F,24-02-86934,Single
587,"Kuzante, Marandinho"," $171,143.00 ",M,24-02-87934,Married
588,"Maruanto, Mazindara"," $152,016.00 ",M,24-02-88934,Divorced
589,"Kuzante, Marandinho"," $119,511.00 ",M,24-02-89934,Single
590,"Maruanto, Mazindara"," $87,488.00 ",N,24-02-90934,Married
591,"Kuzante, Marandinho"," $101,234.00 ",M,24-02-91934,Divorced
592,"Maruanto, Mazindara"," $73,592.00 ",F,24-02-92934,Single
593,"Kuzante, Marandinho"," $81,154.00 ",F,24-02-93934,Married
594,"Maruanto, Mazindara"," $96,795.00 ",N,24-02-94934,Divorced
595,"Kuzante, Marandinho"," $39,649.00 ",M,24-02-95934,Divorced
596,"Maruanto, Mazindara"," $154,590.00 ",N,24-02-96934,Single
597,"Kuzante, Marandinho"," $154,962.00 ",F,24-02-97934,Married
598,"Maruanto, Mazindara"," $198,552.00 ",N,24-02-98934,Divorced
599,"Kuzante, Marandinho"," $123,322.00 ",M,24-02-99934,Single
600,"Maruanto, Mazindara"," $210,761.00 ",F,24-02-100934,Married
601,"Kuzante, Marandinho"," $155,331.00 ",M,24-02-1934,Single
602,"Maruanto, Mazindara"," $176,784.00 ",F,24-02-2934,Married
603,"Kuzante, Marandinho"," $71,233.00 ",M,24-02-3934,Divorced
604,"Maruanto, Mazindara"," $44,868.00 ",M,24-02-4934,Single
605,"Kuzante, Marandinho"," $208,434.00 ",M,24-02-5934,Married
606,"Maruanto, Mazindara"," $153,447.00 ",N,24-02-6934,Divorced
607,"Kuzante, Marandinho"," $192,530.00 ",M,24-02-7934,Single
608,"Maruanto, Mazindara"," $208,149.00 ",F,24-02-8934,Married
609,"Kuzante, Marandinho"," $216,408.00 ",F,24-02-9934,Divorced
610,"Maruanto, Mazindara"," $176,345.00 ",N,24-02-10934,Single
611,"Kuzante, Marandinho"," $84,107.00 ",M,24-02-11934,Married
612,"Maruanto, Mazindara"," $60,299.00 ",N,24-02-12934,Divorced
613,"Kuzante, Marandinho"," $186,982.00 ",F,24-02-13934,Single
614,"Maruanto, Mazindara"," $65,429.00 ",N,24-02-14934,Married
615,"Kuzante, Marandinho"," $85,676.00 ",M,24-02-15934,Divorced
616,"Maruanto, Mazindara"," $207,773.00 ",F,24-02-16934,Single
617,"Kuzante, Marandinho"," $55,275.00 ",M,24-02-17934,Married
618,"Maruanto, Mazindara"," $141,860.00 ",M,24-02-18934,Divorced
619,"Kuzante, Marandinho"," $114,006.00 ",M,24-02-19934,Single
620,"Maruanto, Mazindara"," $137,170.00 ",N,24-02-20934,Married
621,"Kuzante, Marandinho"," $22,475.00 ",M,24-02-21934,Divorced
622,"Maruanto, Mazindara"," $185,655.00 ",F,24-02-22934,Single
623,"Kuzante, Marandinho"," $100,001.00 ",F,24-02-23934,Married
624,"Maruanto, Mazindara"," $145,009.00 ",N,24-02-24934,Divorced
625,"Kuzante, Marandinho"," $175,942.00 ",M,24-02-25934,Single
626,"Maruanto, Mazindara"," $51,520.00 ",N,24-02-26934,Married
627,"Kuzante, Marandinho"," $42,184.00 ",F,24-02-27934,Divorced
628,"Maruanto, Mazindara"," $72,447.00 ",N,24-02-28934,Single
629,"Kuzante, Marandinho"," $245,412.00 ",M,24-02-29934,Married
630,"Maruanto, Mazindara"," $199,050.00 ",F,24-02-30934,Divorced
631,"Kuzante, Marandinho"," $77,405.00 ",M,24-02-31934,Single
632,"Maruanto, Mazindara"," $235,263.00 ",M,24-02-32934,Married
633,"Kuzante, Marandinho"," $72,641.00 ",M,24-02-33934,Divorced
634,"Maruanto, Mazindara"," $95,585.00 ",N,24-02-34934,Single
635,"Kuzante, Marandinho"," $133,244.00 ",M,24-02-35934,Married
636,"Maruanto, Mazindara"," $38,026.00 ",F,24-02-36934,Divorced
637,"Kuzante, Marandinho"," $111,453.00 ",F,24-02-37934,Single
638,"Maruanto, Mazindara"," $70,341.00 ",N,24-02-38934,Married
639,"Kuzante, Marandinho"," $32,782.00 ",M,24-02-39934,Divorced
640,"Maruanto, Mazindara"," $144,108.00 ",N,24-02-40934,Single
641,"Kuzante, Marandinho"," $34,460.00 ",F,24-02-41934,Married
642,"Maruanto, Mazindara"," $249,744.00 ",N,24-02-42934,Divorced
643,"Kuzante, Marandinho"," $13,704.00 ",M,24-02-43934,Single
644,"Maruanto, Mazindara"," $137,172.00 ",F,24-02-44934,Married
645,"Kuzante, Marandinho"," $152,502.00 ",M,24-02-45934,Divorced
646,"Maruanto, Mazindara"," $133,837.00 ",M,24-02-46934,Single
647,"Kuzante, Marandinho"," $105,271.00 ",M,24-02-47934,Married
648,"Maruanto, Mazindara"," $119,076.00 ",N,24-02-48934,Divorced
649,"Kuzante, Marandinho"," $170,086.00 ",M,24-02-49934,Single
650,"Maruanto, Mazindara"," $38,549.00 ",F,24-02-50934,Married
651,"Kuzante, Marandinho"," $115,113.00 ",F,24-02-51934,Divorced
652,"Maruanto, Mazindara"," $88,019.00 ",N,24-02-52934,Single
653,"Kuzante, Marandinho"," $206,899.00 ",M,24-02-53934,Married
654,"Maruanto, Mazindara"," $57,500.00 ",N,24-02-54934,Divorced
655,"Kuzante, Marandinho"," $76,392.00 ",F,24-02-55934,Single
656,"Maruanto, Mazindara"," $53,157.00 ",N,24-02-56934,Married
657,"Kuzante, Marandinho"," $181,651.00 ",M,24-02-57934,Divorced
658,"Maruanto, Mazindara"," $217,194.00 ",F,24-02-58934,Single
659,"Kuzante, Marandinho"," $141,374.00 ",M,24-02-59934,Married
660,"Maruanto, Mazindara"," $58,191.00 ",M,24-02-60934,Divorced
661,"Kuzante, Marandinho"," $20,111.00 ",M,24-02-61934,Single
662,"Maruanto, Mazindara"," $117,382.00 ",N,24-02-62934,Married
663,"Kuzante, Marandinho"," $138,107.00 ",M,24-02-63934,Divorced
664,"Maruanto, Mazindara"," $95,362.00 ",F,24-02-64934,Single
665,"Kuzante, Marandinho"," $173,027.00 ",F,24-02-65934,Married
666,"Maruanto, Mazindara"," $67,275.00 ",N,24-02-66934,Divorced
667,"Kuzante, Marandinho"," $92,665.00 ",M,24-02-67934,Single
668,"Maruanto, Mazindara"," $199,671.00 ",N,24-02-68934,Married
669,"Kuzante, Marandinho"," $123,698.00 ",F,24-02-69934,Divorced
670,"Maruanto, Mazindara"," $210,672.00 ",N,24-02-70934,Single
671,"Kuzante, Marandinho"," $204,144.00 ",M,24-02-71934,Married
672,"Maruanto, Mazindara"," $18,146.00 ",F,24-02-72934,Divorced
673,"Kuzante, Marandinho"," $219,637.00 ",M,24-02-73934,Single
674,"Maruanto, Mazindara"," $178,176.00 ",M,24-02-74934,Married
675,"Kuzante, Marandinho"," $97,236.00 ",M,24-02-75934,Divorced
676,"Maruanto, Mazindara"," $216,439.00 ",N,24-02-76934,Divorced
677,"Kuzante, Marandinho"," $59,437.00 ",M,24-02-77934,Single
678,"Maruanto, Mazindara"," $78,471.00 ",F,24-02-78934,Married
679,"Kuzante, Marandinho"," $142,615.00 ",F,24-02-79934,Divorced
680,"Maruanto, Mazindara"," $96,040.00 ",N,24-02-80934,Single
681,"Kuzante, Marandinho"," $139,243.00 ",M,24-02-81934,Married
682,"Maruanto, Mazindara"," $33,270.00 ",N,24-02-82934,Divorced
683,"Kuzante, Marandinho"," $51,983.00 ",F,24-02-83934,Single
684,"Maruanto, Mazindara"," $231,194.00 ",N,24-02-84934,Married
685,"Kuzante, Marandinho"," $67,429.00 ",M,24-02-85934,Divorced
686,"Maruanto, Mazindara"," $138,926.00 ",F,24-02-86934,Single
687,"Kuzante, Marandinho"," $171,143.00 ",M,24-02-87934,Married
688,"Maruanto, Mazindara"," $152,016.00 ",M,24-02-88934,Divorced
689,"Kuzante, Marandinho"," $119,511.00 ",M,24-02-89934,Single
690,"Maruanto, Mazindara"," $87,488.00 ",N,24-02-90934,Married
691,"Kuzante, Marandinho"," $101,234.00 ",M,24-02-91934,Divorced
692,"Maruanto, Mazindara"," $73,592.00 ",F,24-02-92934,Single
693,"Kuzante, Marandinho"," $81,154.00 ",F,24-02-93934,Married
694,"Maruanto, Mazindara"," $96,795.00 ",N,24-02-94934,Divorced
695,"Kuzante, Marandinho"," $39,649.00 ",M,24-02-95934,Divorced
696,"Maruanto, Mazindara"," $154,590.00 ",N,24-02-96934,Single
697,"Kuzante, Marandinho"," $154,962.00 ",F,24-02-97934,Married
698,"Maruanto, Mazindara"," $198,552.00 ",N,24-02-98934,Divorced
699,"Kuzante, Marandinho"," $123,322.00 ",M,24-02-99934,Single
700,"Maruanto, Mazindara"," $210,761.00 ",F,24-02-100934,Married
701,"Kuzante, Marandinho"," $142,615.00 ",F,24-02-79934,Divorced
702,"Maruanto, Mazindara"," $96,040.00 ",N,24-02-80934,Single
703,"Kuzante, Marandinho"," $139,243.00 ",M,24-02-81934,Married
704,"Maruanto, Mazindara"," $33,270.00 ",N,24-02-82934,Divorced
705,"Kuzante, Marandinho"," $51,983.00 ",F,24-02-83934,Single
706,"Maruanto, Mazindara"," $231,194.00 ",N,24-02-84934,Married
707,"Kuzante, Marandinho"," $67,429.00 ",M,24-02-85934,Divorced
708,"Maruanto, Mazindara"," $138,926.00 ",F,24-02-86934,Single
709,"Kuzante, Marandinho"," $171,143.00 ",M,24-02-87934,Married
710,"Maruanto, Mazindara"," $152,016.00 ",M,24-02-88934,Divorced
711,"Kuzante, Marandinho"," $119,511.00 ",M,24-02-89934,Single
712,"Maruanto, Mazindara"," $87,488.00 ",N,24-02-90934,Married
713,"Kuzante, Marandinho"," $101,234.00 ",M,24-02-91934,Divorced
714,"Maruanto, Mazindara"," $73,592.00 ",F,24-02-92934,Single
715,"Kuzante, Marandinho"," $81,154.00 ",F,24-02-93934,Married
716,"Maruanto, Mazindara"," $96,795.00 ",N,24-02-94934,Divorced
717,"Kuzante, Marandinho"," $39,649.00 ",M,24-02-95934,Divorced
718,"Maruanto, Mazindara"," $154,590.00 ",N,24-02-96934,Single
719,"Kuzante, Marandinho"," $154,962.00 ",F,24-02-97934,Married
720,"Maruanto, Mazindara"," $198,552.00 ",N,24-02-98934,Divorced
721,"Kuzante, Marandinho"," $123,322.00 ",M,24-02-99934,Single
722,"Maruanto, Mazindara"," $210,761.00 ",F,24-02-100934,Married
723,"Kuzante, Marandinho"," $155,331.00 ",M,24-02-1934,Single
724,"Maruanto, Mazindara"," $176,784.00 ",F,24-02-2934,Married
725,"Kuzante, Marandinho"," $71,233.00 ",M,24-02-3934,Divorced
726,"Maruanto, Mazindara"," $44,868.00 ",M,24-02-4934,Single
727,"Kuzante, Marandinho"," $208,434.00 ",M,24-02-5934,Married
728,"Maruanto, Mazindara"," $153,447.00 ",N,24-02-6934,Divorced
729,"Kuzante, Marandinho"," $192,530.00 ",M,24-02-7934,Single
730,"Maruanto, Mazindara"," $208,149.00 ",F,24-02-8934,Married
731,"Kuzante, Marandinho"," $216,408.00 ",F,24-02-9934,Divorced
732,"Maruanto, Mazindara"," $176,345.00 ",N,24-02-10934,Single
733,"Kuzante, Marandinho"," $84,107.00 ",M,24-02-11934,Married
734,"Maruanto, Mazindara"," $60,299.00 ",N,24-02-12934,Divorced
735,"Kuzante, Marandinho"," $186,982.00 ",F,24-02-13934,Single
736,"Maruanto, Mazindara"," $65,429.00 ",N,24-02-14934,Married
737,"Kuzante, Marandinho"," $85,676.00 ",M,24-02-15934,Divorced
738,"Maruanto, Mazindara"," $207,773.00 ",F,24-02-16934,Single
739,"Kuzante, Marandinho"," $55,275.00 ",M,24-02-17934,Married
